,mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type
1148,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,0,therapist,00:00:00,What else has brought you here?,1,False,,False,,False,,other,
1149,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,1,client,00:00:05,They found a little bag of weed.,1,,,,,,,,neutral
1150,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,2,therapist,00:00:07,Mm-hmm.,1,False,,False,,False,,other,
1151,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,3,client,00:00:10,It's not a lot though.,1,,,,,,,,sustain
1152,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,4,therapist,00:00:11,Mm-hmm.,1,False,,False,,False,,other,
1153,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,5,client,00:00:14,It's not like I was gonna sell it or anything. It's like—,1,,,,,,,,sustain
1154,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,6,therapist,00:00:16,Just enough for your own use?,1,False,,False,,True,closed,question,
1155,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,7,client,00:00:18,"Yeah, whatever, you know. It's California, no one cares.",1,,,,,,,,sustain
1156,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,8,therapist,00:00:25,Yeah. Yeah. Yeah.,1,False,,False,,False,,other,
1157,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,9,client,00:00:31,How long is this gonna take?,1,,,,,,,,neutral
1158,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,10,therapist,00:00:33,"Yeah, we-- You know, we have about 15 to 20 minutes to talk today, total. Um-um, which certainly it's just the first of-of some sessions that we'll have together over the next six months. It'd be a natural question you'd wanna know how much time this will take, of course. Um, what else would you like me to know about you and your perspective that you think will help me work with you over this time?",1,True,information,False,,True,closed,therapist_input,
1159,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,11,client,00:00:56,"I just wanna get whatever I need to get done, done.",1,,,,,,,,neutral
1160,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,12,therapist,00:01:00,Okay. You're more focused on what you need to do to get this behind you?,1,False,,True,simple,False,,reflection,
1161,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,13,client,00:01:03,Yeah,1,,,,,,,,neutral
